timestamp,temperature,humidity
1747792560.6799917,27.06,52.36
1747792562.681976,26.94,50.24
1747792564.68353,26.88,53.14
1747792566.6867042,24.98,43.82
1747792568.688105,24.9,52.25
1747792570.6900432,27.54,44.24
1747792572.6913006,24.0,46.2
1747792574.6926937,24.75,36.02
1747792576.6946123,27.21,47.24
1747792578.6966424,25.37,42.92
1747792580.6983035,26.6,39.87
1747792582.6992826,23.06,36.16
1747792584.700902,23.19,54.97
1747792586.702459,23.68,42.17
1747792588.7055612,23.57,42.0
1747792590.7118895,23.37,38.78
1747792592.7146766,25.93,50.5
1747792594.7165318,26.03,39.57
1747792596.7176306,26.48,53.11
1747792598.719296,23.99,49.32
1747792600.7199998,23.93,42.49
1747792602.7237768,23.69,42.85
1747792604.725395,24.44,35.57
1747792606.7270133,24.5,44.55
1747792608.728083,27.84,53.44
1747792610.7292812,24.73,37.07
1747792612.730507,23.24,46.99
1747792614.732029,27.28,37.89
1747792616.8064098,23.85,36.61
1747792618.8732429,25.72,43.15
1747792620.875544,26.62,47.03
1747792622.877218,25.78,46.17
1747792624.8798747,26.39,35.07
1747792626.8815105,23.04,52.06
1747792628.8839254,26.0,50.63
1747792630.885446,27.15,39.9
1747792632.8868508,25.29,50.63
1747792634.8882458,24.19,36.23
1747792636.889523,27.29,42.87
1747792638.891615,26.34,47.83
1747792640.8932397,25.94,49.83
1747792642.8952909,26.95,53.33
1747792644.896687,27.3,40.99
1747792646.898268,26.79,41.56
1747792648.8994431,27.55,54.08
1747792650.9009736,24.86,41.16
1747792652.903106,25.54,48.94
1747792654.9051015,23.26,51.73
1747792656.906823,27.88,40.87
1747792658.9083986,23.66,40.19
1747792660.9102888,26.09,47.14
1747792662.911482,25.68,49.34
